index,imdb_id,conteo,media_rating,imdb_title,genre
0,tt0000008,1,5.0,Edison Kinetoscopic Record of a Sneeze,Documentary|Short
1,tt0419773,1,8.0,Gespenster,Drama
2,tt0419766,1,6.0,Garçon stupide,Comedy|Drama|Romance
3,tt0419765,1,8.0,We Have the Following News,Comedy
4,tt4048050,1,10.0,My Golden Days,Drama
5,tt4048674,1,1.0,Gulyabani,Comedy|Horror
6,tt0419641,1,7.0,Chromophobia,Drama
7,tt0419781,1,2.0,Graves End,Thriller|Mystery
8,tt0419515,1,8.0,Blood and Bones,Drama
9,tt0419422,1,6.0,The Best of Times,Drama
10,tt4050660,1,2.0,Hybris,Horror|Mystery|Thriller
11,tt0419416,1,7.0,Abo Ali,Comedy|Romance
12,tt4054946,1,9.0,Barely Alive,Short|Drama|Mystery
13,tt0419256,1,7.0,Wah-Wah,Comedy|Drama
14,tt4056808,1,7.0,The Chinese Mayor,Documentary|Drama|News
15,tt0419482,1,8.0,The Student Cop,Action|Comedy|Romance
16,tt4047846,1,7.0,Home,Drama
17,tt4047752,1,5.0,Encounters,Horror|Mystery|Sci-Fi
18,tt4047350,1,6.0,The Hacker Wars,Documentary|Crime
19,tt0420906,1,10.0,Judgement,Short|Drama
20,tt0420757,1,7.0,Man About Town,Comedy|Drama
21,tt0420678,1,6.0,How Arnold Won the West,Documentary|Biography
22,tt0420627,1,7.0,Formula 17,Comedy|Romance
23,tt4037876,1,6.0,Rafaël,Drama
24,tt4038108,1,8.0,Amateur Teens,Drama
25,tt0420541,1,8.0,What Remains of Us,Documentary
26,tt4038574,1,10.0,Rise,Short|Drama
27,tt4040900,1,8.0,No Cameras Allowed,Documentary
28,tt4041476,1,4.0,Ultimate Justice,Action|Thriller
29,tt0420291,1,6.0,Keane,Drama|Mystery|Thriller
30,tt4044970,1,5.0,Meeting Dr. Sun,Drama
31,tt4045894,1,9.0,Get the Girl,Action|Comedy|Crime|Thriller
32,tt0420076,1,8.0,Pokémon: Jirachi - Wish Maker,Animation|Action|Adventure|Family|Fantasy|Sci-Fi
33,tt4047112,1,8.0,Jeeva,Drama|Sport
